sku,name,zhongliang,description
nanqu-011,虚拟现实旅游体验,,用三维建模的方式构建旅游景点的虚拟世界，游客可以通过手机、网站、虚拟现实程序等来全方位地体验景点的魅力，让游客就算不用身临其景也能身临其境。
nanqu-012,万向跑步机（硬件）,225kg ,虚拟现实外设硬件
nanqu-013,"IDEALENS K2 VR一体机

IDEALENS M8K PC-VR头显

IDEALOEYE 全景摄像机 C4
",295g（整机550g）,IDEALENS K2 VR一体机为一体化VR头戴式设备，无需外接任何线缆或设备，设备亮点为创新性地将电池仓后置，3秒上头的佩戴方案。VR一体机设备可以应用于VR影视、游戏等娱乐领域使用。也可应用于VR教育、VR旅游等行业市场。
nanqu-014,"
旅游手绘地图、720全景、旅游AR产品；  ",,"成都中科大旗软件有限公司成立于2006年4月,在国内“智慧旅游”行业处于领先地位，集智慧旅游的规划咨询、软件研发、投资建设、运维保障及资源运营为一体的高新技术企业。
本次展示主要是智慧旅游-智慧景区的VR虚拟现实体验,让参观者可以足不出户体验全国各地景区的720度大自然的全貌、集全景、视频、解说、合影等强大的智慧旅游体验。"
nanqu-015,极米无屏电视Z4X,,"2015年7月30日，极米Z4X无屏超级电视以1,125万的成绩在京东众筹完美收官，成京东众筹史上第一个千万级家庭娱乐爆品。"
nanqu-016,极米无屏电视Z4Air,,极米Z4 Air则致力于打造商务移动办公的不二首选。 “百寸巨屏 如影随行”， Z4 Air采用23.5mm超薄机身，号称市面上最薄的高清投影产品。
nanqu-017,极米无屏电视CC,,"极米无屏电视CC定价2799元，是大屏影音实验室推出的首个产品，已于11月11日现货发售。
推出CC的构想来源于用户对于极米无屏电视Z4X的反馈。Z4X是极米于去年推出的爆款单品，推出两年之后依然受到用户的喜爱。“大屏影音实验室”的调研结果显示，喜爱Z4X的用户希望它能够更便携，在家里不同房间活动或是外出郊游、聚会的时候都可以带着走。
为此，极米设计并打造出CC，一款在“小身材”上将音画效果做到极致的全新无屏电视。CC延续了极米无屏电视超6米宽大屏和支持3D功能的品牌基因，别出心裁的牛皮手提带让它不仅便于随手拎走，还是一件很时尚的配饰。与此前推出的Z4Air不同，CC更注重娱乐体验。350 ANSI Lumens亮度和JBL 40mm大口径双喇叭单元以及低音被动振膜的加持，为CC娱乐大拿的身份打下了坚实的基础。内置20000毫安时电池和超大存储空间，CC充一次电可以续航8小时，还能装下20集电视剧或者4000首歌，真正让用户的“快乐需求”摆脱时间、空间的束缚，把电影、音乐随身相伴的体验做到了极致。
"
nanqu-018,极米无屏电视H1S,,"H1S是全球首款支持3D的LED光源1080p全高清无屏电视H1的升级版。H1于去年上市之后受到了用户、行业和媒体的高度好评，不仅横扫三大电商节成为同品类单品销售冠军，还囊括了CES创新奖、iF设计奖和红点产品设计奖三大国际奖项。
H1S进一步优化了亮度、投射比和对比度三个影响视觉效果的关键指标，让用户的观影体验更加畅快。1100 ANSI流明的亮度较H1提升22%，为白天也能观影的技能再加分。它的投射比为1.2：1，这意味着大约2.5米的距离就能投射2米宽的画面，让小户型也能享受大屏幕。H1S还新增了对比度增强技术，实现画面对比度100%的提升，为画面赋予了更丰富的层次和更细致入微的细节表现。无论是看电影大片还是追热门电视剧，在家就能拥有影院般震撼心灵的享受。
"
nanqu-019,imea儿童无屏电视,,视、听、触三合一的AR智能早教系统，重新定义宝贝的学习方法，imea专属的UI系统，根据孩子的兴趣爱好分类推荐适合孩子的精选内容，全方位守护宝贝的健康成长。
nanqu-020,激光电视,,全球首台120英寸双色4K家用激光电视。它将包括色彩、亮度、音响、投射比在内的激光电视关键配置提升到了全新的高度。
nanqu-021,Lebo无线基站球泡灯,,我们将用Lettin智能照明硬件系列打造一个家居照明的实景氛围，通过场景展示、太阳模拟、灯光闹钟等情景，向参展观众展示Lettin智能照明网络的应用与特点
nanqu-022,Lettin智能球泡灯,,我们将用Lettin智能照明硬件系列打造一个家居照明的实景氛围，通过场景展示、太阳模拟、灯光闹钟等情景，向参展观众展示Lettin智能照明网络的应用与特点
nanqu-023,Lettin智能RGB球泡灯,,我们将用Lettin智能照明硬件系列打造一个家居照明的实景氛围，通过场景展示、太阳模拟、灯光闹钟等情景，向参展观众展示Lettin智能照明网络的应用与特点
nanqu-024,Lettin智能筒灯,,我们将用Lettin智能照明硬件系列打造一个家居照明的实景氛围，通过场景展示、太阳模拟、灯光闹钟等情景，向参展观众展示Lettin智能照明网络的应用与特点
nanqu-025,Lettin智能照明网络,,我们将用Lettin智能照明硬件系列打造一个家居照明的实景氛围，通过场景展示、太阳模拟、灯光闹钟等情景，向参展观众展示Lettin智能照明网络的应用与特点
nanqu-026,小鸟客厅影院Ｋ１,50.8公斤,2016年10月成都小鸟冲冲冲科技发布了旗下第一款产品——小鸟客厅影院K1，小鸟客厅影院K1历时两年研发，于２０１６年１０月１８日在京东众筹版块上线，并最终以一千多万的金额取得了京东众筹音响类目第一的好成绩。小鸟客厅影院K1包含了左、右声道音箱，中置声道音箱，环绕左、右声道音箱和超低音音箱6个部件，其中智能操作系统、音视频解码和高保真功放均集成在中置音箱之中。小鸟客厅影院K1在设计之初便从外观、安装、功能、操作和音质这5点出发，解决了传统定制安装在大众化客厅影院市场方面的痛点，并且以一个大众能接受的合理价格出现在消费者面前。小鸟K1在设计方面是与德国顶级工业设计公司合作，设计出这款区别于传统音箱的现代风格音箱；在安装方面采用有线+无线方式，超低音音箱和环绕音箱均采用小鸟专用的5.8G无线无损传输；操控方面采用现在最为大众接受的遥控器+手机APP控制方式，TV端采用小鸟自主研发的Bird OS操作系统，具有无限拓展性且非常易于操作；在音质方面，小鸟在设计之初就按照好莱坞音效标准完善K1的音质。另外小鸟还融入人工智能的元素，集成zigbee芯片，能轻松控制你家的灯光效果，未来还将控制你家的窗帘、空调等设备。总的来说小鸟K1用互联网思维解决了传统家庭影院存在的安装麻烦、调音困难、配件繁多、价格虚高等弊病，是一款现代化的智能客厅影院。
nanqu-027,激光电视,8kg（主机）+15kg（屏幕）,成亿激光电视运用于家用大屏电视及商业演示，采用半导体固态激光光源，相对液晶电视，具有大尺寸、能效高、色域大，寿命长、无辐射的特点，长时间观看对人眼伤害小。
nanqu-028,哇客产品①手工蓝牙实木留声机,1、3000g    2、1500g    3、8000g     ,"1、家居生活美学。手工蓝牙实木留声机纯手工北美原木打造。采用SLA的3D打印机为原型，作为留声机的扩音器，用于保证最原始的声音，蓝牙音箱搭配AUX IN线让使用更方便。白橡木质地坚硬不易受潮使用年限长与金属和谐结合凸显时尚。实木底座发音源，手工铸铁喇叭物理扩音降噪，独特的音质，匠心制作层层工艺精心制造；JAZZ/BLUE王者之音。                                 2、家居生活美学。西班牙原生老字号打造斗牛刀具，够锋利更像艺术品。铬钼钢，钒钢精制提升刀具的硬度和耐磨性。刀身一体化设计，刀与柄无缝打磨结构细腻，易清洁。快意生活锋利与美学的契合，时光铸造的快易生活，不一样的审美造就不一样的创意生活。我们一直致力于全球原创生活美学，让烹饪速度更加的干脆利落。                           3、家居生活美学。不仅仅是桌子那么简单哦！北美白橡实木,纯手工工艺,自带USB,无线蓝牙。随时慢享时光，无线缆困扰，隐藏式出音，双发音单元，定制共振腔体定制金属喇叭网。北欧原生设计智能多媒体家居，法国设计师Didi专门为中国现代年轻人小户型居住环境设计，回到家中能够放松自己和他们的娱乐活动交集!"
nanqu-029,哇客产品②西班牙原生科技钼钒钢斗牛刀具,100g,"1.通过先进科技，实现家居设备的组网
2.本地状态上报，手机客户端实时显示
3.接收云端命令，手机一键操控
4.最新研发技术，产品通信更稳定，穿透力更强"
nanqu-030,哇客产品③多媒体蓝牙小圆桌,50g,"1.zigbee无线双向传输
2.红外人体感应，判断高效精准；
3.可实现与其他智能家电的多功能互联互动；
4.客户端实时统计并反馈剩余电量；
5.红外判断是否有人出现在检测范围内。
"
nanqu-031,智能家庭网关,300g,"1.Zigbee无线双向传输
2.支持手动、远程、语音控制
3.电子记忆限位功能
4.遇阻停止功能
5.停电手拉功能
6.安全电压功能
"
nanqu-032,红外人体传感器,100g,"1.上下左右，自由旋转
2.远程控制，让监控无死角
3.超强画质、1080P高清画质
4.120°大广角
5.智能报警技术
6.智能双向语音功能"
nanqu-033,智能窗帘电机,10g,"1.zigbee无线双向传输
2.主动上报开关门信息，手机客户端实时显示；
3.先进研发技术，产品节能省电；
4.纽扣式电池供电，客户端实时统计剩余电量。"
nanqu-034,智能摄像头,300g,"1.影音娱乐：音乐、新闻、儿童读物、脱口秀等。
2.生活助手：闹钟、日程、计算器、滴滴打车、英语翻译、外卖、电影票等。
3.智能家居：开关灯、窗帘、空气净化器、扫地机器人等控制。"
nanqu-035,智能门磁,150g,"1.影音娱乐：音乐、新闻、儿童读物、脱口秀等。
2.生活助手：闹钟、日程、计算器、滴滴打车、英语翻译、外卖、电影票等。
3.智能家居：开关灯、窗帘、空气净化器、扫地机器人等控制。"
nanqu-036,音乐机器人一代,,"易瞳科技研发的720°全景安防摄像机采用两个超广角鱼眼镜头，利用独创基于云计算技术的图像拼接算法，突破传统摄像机的视野限制，可无死角获取记录全天球高清视频。
硬件产品主要分为：专业全景安防摄像机（port A）和全景家居安防摄像机(pano c)；软件:iOS,安卓,web,PC客户端、全景播放器、全景APP、SDK、A/VR等，公司所有的硬件，软件产品均可以根据市场需求，终端客户应用场景定制。产品可广泛用于公安、教育、保险、政府、机场、VR、无人机，机器人等行业领域。"
nanqu-037,音乐机器人二代,"锁体版：2000g；
门禁版：2500g","    适用于家庭、酒店、公司及小区门禁的智能门锁。采用BLE离线开锁技术，具备云端授权管理、人脸识别开锁等多种智能化应用场景。手机就是钥匙，家庭、门禁、公司、酒店一机通行，再也没有了带钥匙的烦恼。
    没有指纹、没有密码，指纹膜和穷解密码无计可施。离线开锁方式、多重加密验证体系，避免了wifi锁等的安全性隐患。致力于打造目前为止最安全最便捷的门锁。
    酒店版本具备自主售房、在线客服、自选商超及智慧房间功能，更强的使用便捷性和用户黏性，开启酒店无人式管理时代。"
nanqu-038,PANO-C（全景家居安防摄像机）,1000g,"    范冰冰代言的CUK面膜机第三代产品，融入了自动清洗、中药萃取、挤压成膜等全新技术工艺，使产品与前代相比有了根本性的突破！
    使用水果、牛奶、中药材等纯天然原料，在家轻松制作属于自己的面膜。
    第三代产品植入了物联网功能，通过app客户端可以智能定制护肤流程、根据天气及肌肤状况推荐面膜配方，使CUK成为居家护肤神器。"
nanqu-039,Port A(专业全景安防摄像机）,500g,结合云平台肌肤数据进行同步分析，根据每位用户不同的肌肤状态，为其提供日护、夜护方案和流程、使用量控制。既将女性化妆台上的瓶瓶罐罐“融为一体”，又能有效避免在护肤品使用过程中出现的交叉感染现象。同时，可及时提醒用户各类产品的剩余使用量。不仅能为每一位用户提供定制式的肌肤管理，而且外观时尚雅致，使用步骤亦更加智能、简单。
nanqu-040,VICTLINK蓝牙智能锁,50g,"    采用中频电疗脉冲、运动温度传感及BLE技术的智能理疗产品，可以实现预测生理期、乳房及盆腔保健、肌肉运动恢复及远程互动情趣功能。
    采用的远程传感交互技术，好友可以通过手机端远程控制及通过传感器互相感知对方的身体状况、触发相应的震动、敲打、抚摸、按摩等皮肤感知。在文字、语音、视频之后加入了动作、皮肤感知功能的第四代交互工具。"
nanqu-041,C/UK第三代超声波面膜机,,以手机APP为载体结合声呐功能的智能化公寓设备管理平台
nanqu-042,C/UK X-Queen智能护肤仪,,"  “蕊磁”无线充电套装提供20cm的垂直无线充电距离，可随意安装于桌底、床头柜内，实现真正的隔空无线充电，彻底解决了传统有线充电不方便、效率低、不安全等问题。即放即充，高效的能量转换效率，让充电更加迅捷；独特的Android-IOS双接口设计，可同时为两部手机充电；兼容快充模式，避免额外配件而造成的资源浪费；30cmX30cm的超大充电面积，利用空间磁场进行能量转换，绿色无辐射；智能芯片控制，提供过压、过流、过载保护，让充电更放心、更安全。

"
nanqu-043,SMATER交互式脉动贴,,  “蕊磁”无线充电、供电家具模块高度集成化、小型化，只需简单的安装，任何传统家具的表面都能形成全方位覆盖的无线充电和供电区域，为智能手机、平板电脑、音箱、台灯等消费电子产品或小家电同步充电或供电，总功率可达100W。在为用户提供智能、高效、稳定的无线供电的同时，彻底消除漏电、电弧导致的用电安全隐患。该产品适合于各类高档住宅、写字楼、餐饮、酒店和娱乐场所，让人们尽情享受无线科技赋予的极简生活魅力。
nanqu-044,声呐智能锁,3.5kg,"奥叮，一款基于强人工智能的智能服务机器人。产品采用自主研发的协同行为表达系统、情感计算引擎、运动控制及算法，结合深度开发的人脸识别等前沿技术。核心功能以陪伴、社交为中心，包括智能家居控制系统、家庭助理和家居安全。产品主要面向小朋友和老年人，提供包含幼儿泛教育内容、视频通话、视频问诊、24小时守护、以及多种多样的娱乐节目等丰富内容,适用于健康医疗、幼儿教育、金融服务、政务服务、社区养老、商业展示等行业应用。"
nanqu-045,蕊磁无线充电套装,15KG,"康宝是成都深泉科技有限公司研发的医学智能导诊机器人。
定位于导诊助手的康宝，依托先进的人工智能，结合半监督式深度学习技术，以精致的外观、暖心的表情为载体，为使用者提供了简便、高效的医学导诊解决方案；同时，通过结合“医学百科”、“流程答疑”、“医院导航”和“娱乐互动”等功能，兼顾广大患者与家属的多方面诉求，力求全面提升用户在挂号问诊流程中“最后100米”的体验与效率。"
nanqu-046,无线充电、供电家具模块,,"《趣玩天下》（APP、网站、社交媒体号三位一体）——一智慧旅游好伴侣，一款文化旅游的互联网产品，汇聚地方特色文化、民族文化资源的开放式共享云平台。
产品以动漫AR导游的形式，基于用户的位置定位（LBS），以多种内容形态有趣、好玩、互动地呈现风土人情、人文景观、民俗传统等旅游文化。
产品运用云计算、大数据、人工智能等信息技术，逐步打造地方文化IP生态圈、地方文化资源库，成为交易、交互、开放、共享的网络平台。"
nanqu-047,奥叮,400g,"    我公司自主研发的“护食安”智能家用食品检测仪参照国标方法，在其基础上进行创新改进，将所有反应试剂预先固定在试纸上，并且不提前发生反应。使得整个检测过程简化，仅有提取，滴加，读取三个步骤，操作过程中不触碰任何化学试剂。
    仪器甄选高精度进口传感器，提高设备的准确性与重复性。且“护食安”智能家用食品检测仪在民用快检细分产品及市场上，我公司属国内首创。 "
nanqu-048,康宝智能导诊机器人,106g, 智能可穿戴心电仪可随时随地的记录短暂的心脏异常，广泛适用于心脑疾病患者、亚健康人员及专业医务人员，设备测量结果有助于医生诊断临床症状的原因，有效反馈治疗效果；同时降低心血管疾病发生的风险，并对患者进行院外跟踪及监测。
nanqu-049,《趣玩天下》,"咖咪智能心电仪：70g
咪健心电医表：35g","采样量化精度： 24Bit
采样率： 500SPS
共模抑制比（CMRR）： ≤-105dB， 典型值：-115dB
噪声电平： 15uV P-P
最小检测信号： 20uV
灵敏度： 5、10、20mm/mV误差±3%
最大信号输入范围: 峰峰值6mV
耐极化电压: ±300mV,灵敏度变化范围±5%
输入阻抗: ≥10M欧
幅频特性 :以10Hz为基准，1~75Hz范围内幅度在（-1.0~+0）dB
内变化（除50Hz外，50Hz工频干扰陷波幅度为-11.5dB）
连续测量时长: ≥24小时
传输方式: WIFI,2.5GHz ISM频段，内置天线，无遮挡通讯距离≥50米
心电导联数:
单导联
7导联：I、II、III、aVF、aVR、aVL、V2胸导显示
12导联：I、II、III、aVF、aVR、aVL、V1~V6胸导显示
血压、血氧：24H动态
电源: 450mAh 锂电池/2600mAh
支持标准: 满足AAMI EC11、EC13、IEC60601-1、IEC60601-2-27、IEC60601-2-51标准的系统"
nanqu-050,"“护食安”智能家用食品检测仪
",60g,
nanqu-051,新比特智能新心电监护仪,5g,
nanqu-052,咖咪智能心电仪、咪健心电医表,30KG,展示全宅智能的模型，所有灯光，门禁，监控，烟雾报警器，天气报警。
nanqu-053,萝卜医生智能听诊器,2KG,简介：集成安全帽佩戴检测、北斗定位功能、主动被动报警系统，通过后台系统 远程管理、规范人员的施工作业，有效降低施工安全风险。
nanqu-054,儿童穿戴式体温计,3.5KG,史上功能最全最好玩的宠物智能陪护机器人。主人通过手机app不仅可以看到爱宠在家的一举一动，更可以通过激光笔和零食投放、自由行走功能与宠物进行互动，定餐喂食更是满足了主人不在家的时宠物饿肚子的困扰。在和宠物远程互动的同时会产生大量的UGC（用户产生的内容）并上传到服务端。
nanqu-055,智能家居,"奖牌单个（85g-95g）
智能跑鞋（680g)","一、赛事奖牌
1、咕咚带你跑遍全球
线上跑马新运动模式：
2015年线上马拉松近30场
2016年线上马拉松100多场
数百万人线上同跑
2015年300多万线上同跑
2016年1500万人线上同跑

2、除了线上环球跑马，还能体验：
无门槛线下报名：一键报名，一站搞定交通住宿
特色赛事周边：爱赛爱收藏，只选特别的
骑行铁人三项：力量升级，带你一起破风
赛事奖牌服务：量身定制，一体化解决方案

二、咕咚智能跑鞋
2017，咕咚重新定义跑鞋，为用户带来了咕咚智能跑鞋RF；RF不只是一个单纯的跑步工具，它还是一个能记录跑步数据，智能跑姿指导，科学训练的智能系统。同时，它还是一个首个具有社交功能的智能跑鞋，能让你通过跑鞋认识到更多与你志同道合的跑友。
"
nanqu-056,智能安全帽,55g,黑贝智能骑行码表主要为骑行运动用户设计，它能精准全面的实时采集并展现骑行数据，如当前的速度、心率、踏频、海拔、环境温度等专业数据，并能将骑行数据实时的上传远程平台，通过大数据运算，结合用户以前的数据分析，实时的给出骑行运动建议和指导。通过智能化设计，产品让普通的骑行爱好者也能得到精准的专业化指导，用更科学的锻炼方式，获得更好的锻炼效果。
nanqu-057,赛果不倒蛋,"笔记本电脑1个（约2kg/个）；
智能笔4支（约22g/支）；
平板电脑1个（0.5kg/个）",准星智能评测机器人，是公司利用完全自主知识产权的人工智能推理、文字公式混合识别、自然语言识别、大数据处理等多项前沿技术，成功研发的全球第一个主观题自动判卷的“智能评测机器人”。产品在不改变学生现有手写书写习惯的前提下，通过智能笔实现学生答题笔迹采集及手写笔迹识别，以人工智能自动评测实现试卷、家庭作业的主观题自动逐行阅卷和学习诊断，既是老师的全程“教学助理”，能精准采集、还原学生原始笔迹数据，帮助老师自动批改判卷，进行精准教学；也是学生的贴身“伴学老师”，可快速判定对错、锁定知识缺陷、对症下药，真正实现一对一教学效果。
nanqu-058,咕咚,,豆豆数学，是公司O2O智能数学教育产品，是依托清华大学大数据、人工智能等前沿技术，基于K12教育领域研发的数学精准智能提分综合教学产品。“豆豆数学”采用全国独创的“豆豆1+1”教学模式，在全国各体制内学校、辅导机构规模化试点教学，取得了快速提分的震撼效果。
nanqu-059,咕咚智能跑鞋,,智能题库，是依托公司OCR与手写识别、智能推导、智能解题等前沿技术，自主研发的全球首个数学智能题库产品，它能够在庞大的数学题库中，进行自动识别、解题、批阅，实现真正的智能教学、智能教研、智能学情分析和智能分类分级推荐，是数学学科题目信息统一化的新标准。目前，正在帮助越来越多的公立学校、辅导机构及个体教师们实现题库智能化管理。
nanqu-060,无涯骑行码表,,"戈德堡是一种设计精密而复杂的装置，以迂回曲折的方法完成一些其实是非常简单的工作。例如倒一杯茶，或打一只蛋等等。设计者必须计算精确，令机械的每个部件都能够准确发挥功用，因为任何一个环节出错，都极有可能令原定的任务不能达成。
戈德堡循环装置是以戈德堡装置为灵感设计出一些精密巧妙的机械装置，再将这些装置作为戈德堡循环装置的元素，通过自由组合完成机构循环运作。             用于教学"
nanqu-061,准星智能评测机器人,,"一种由激光切割加工使用物理性插拔式设计的逻辑思维套件，此套件在课程中创新地运用数学思维和计算思维的训练模式，以游戏化、场景化以及事务化的呈现方式，对学生的抽象思维以及条理性思维进行训练，并为编程学习打下基础。
用于教学"
nanqu-062,豆豆数学,,"本产品是以UPtiny为主控板，再搭配6个传感器组成的一个智能硬件套装。每一块UPtiny都下载有初始程序可供使用者自由搭配传感器进行自由的创作；除此之外，我们的UPtiny主控板还可以供使用者自己进行编程，可以自行完成简单的项目开发。传感器则由4个输入和2个输出搭配而成，可以自由发挥想象，将这6个传感器运用到各种不同的应用场景。
用于教学"
nanqu-063,智能题库,,啡动力牌固体咖啡是CANFO产品研发团队的最新成果，它是用高浓缩咖啡提取物以及水苏糖、低聚木糖、赤藓糖等高端优质糖源制成的可含化和咀嚼的新形态咖啡
nanqu-064,戈德堡循环装置,,四川云际信息技术有限公司为理县塔斯酒庄有限公司全资子公司，塔斯酒庄在川西北高原发现和证实了冰酒产区的存在，开发和生产了冰酒、霜酒、迟采葡萄酒三类特种葡萄酒，填补了我国和四川空白，获得国家授权专利21项。创立了国内领先技术体系。分别承担国家级、省级、市州级科研项目二十余项。冰酒产品开发与创新获得四川省科学技术进步三等奖、四川省食品工业科学技术创新奖、获2013年度科技进步一等奖。在冰酒等特种葡萄酒种植与酿造技术方面拥有原创性自主知识产权，品质优异，其中冰酒被国际国内业界认为是“中国最好的冰酒”之一。产品唯一追溯码中有由云际开发的产品情感寄托溯源系统，获得产品各种信息的同时可以上传一张纪念意义的照片和话语
nanqu-065,"逻辑思维训练套件
",1斤,毛叶山桐子油中富含油酸、亚油酸、亚麻酸等不饱合脂肪酸，亚油酸含量更是高达74.1%，与红花籽油相当，比芝麻油、花生油和橄榄油的含量都要高。对心脑血管有明显的保健作用，对高血压、冠心病等疗效显著。
nanqu-066,造物教具套装,45（公斤）,"产品优势：
产品具有高效过滤PM2.5的能力，一次性拦截效率可达到99.7%以上，并具有优异的抑菌、重复使用性能、超长使用寿命；
具有优异的力学性能、物理性能、化学稳定性及热稳定性。
主要应用领域：
民用领域：各类新风系统、空气净化器、室内空气净化、汽车空调空气净化、家政机器人扬尘空气净化、个人出行及特殊环境的呼吸防护；
工业领域：洁净室、精密仪器、催化载体及膜反应器、工业工作场所空气过滤等领域"
nanqu-067,啡动力,, 众途盒子（PT8000）是亿盟恒信推出的新一代智能车载终端产品。该产品完全符合汽车行驶记录仪国家标准（GB/T19056-2012）和交通部道路运输车辆卫星定位系统技术要求（JT/T794-2011）、标准协议（JT/T808-2011），融合了3G/4G/WIFI网络、云计算、APP、Web等开发技术，采用“固件 + 终端 + 平台”的开发方式，将传统孤立的车机变成了互联网产品，用互联网思维开启了车载信息消费新模式。
nanqu-068,冰酒,,"产品主要面向企业级用户和大中型无线局域网，提供针对不同场景的智能办公体系无线解决方案，给终端用户带来极致高效的工作体验。

包括，多款智能路由产品：AX300、AX1000和AX1200以及全景智能交互式办公方案。
 
其功能在实现企业高速上网的同时，兼具考勤版功能，同时增加OA智能办公软件系统，其中包含自定义表单、增加审批功能、发布通知公和文档分享存储等功能，实现办公区域内人、事、物的充分互动和智能管控。"
nanqu-069,中海毛叶山桐子食用油,,产品功能：微推泵是利用伊贝基科技精湛的微环（微直）位移传感器全闭环制造工艺，在皮升级流量体积范围内实现精密流量控制值的产品。该产品体积小，精度高，超静音，高稳定性，高抗磁电干扰等特性，完全适应复杂环境下的高精度精确定位。尤其是具有在执行末端安置高精度位移传感器的独特制造能力，使得采用伊贝基位移传感器的微推泵更安全！更可靠！应用领域：化学、医学、生物技术、仪器仪表等高端应用。
nanqu-070,铁皮石斛礼盒,4.5Kg,NET150U系列智能网络音乐语音服务器集MP3音乐播放、定时播放任务、语音播报等功能一体；具有网络通讯、CAN总线通讯、USB数据通讯、24V消防联动等丰富通讯接口；拥有真彩触摸屏、自定义按钮、远程电脑、手机操控的多界面操控接口。音频信号处理采用行业领先的全数字技术，相比较传统设备，音质提升巨大，重量轻盈，可靠性大幅提高。
nanqu-071,铁皮石斛鲜条,,"WIA3200-80D是西加云杉自主研发的新一代高性能 802.11ac 无线接入点(AP)，产品符合IEEE802.11a/b/g/n/ac标准，支持双空间流，提供最高 1.167Gbps 的接入带宽，满足客户高带宽、高密度接入需求，让 AP 不再是数据转发的性能瓶颈。
WIA3200-80D 采用内置天线设计，美观大方；支持吸顶和壁挂两
种安装方式，提供本地和 PoE 供电模式，可根据客户现场的实际
情况，灵活选择安装和供电方式，适用于商场、大型会议室、报告厅、剧场、办公室、校园、火车站、机场等场所的无线部署。"
nanqu-072,新疆骏枣,,"WOA5200-80是西加云杉自主研发的新一代高性能802.11ac室外无线接入点（AP），产品符合IEEE802.11a/b/g/n/ac标准，支持3空间流，提供最高1.75Gbps的接入宽带，满足高密度、高宽带的室外无线覆盖需求。
WOA5200-80内置高品质射频天线，最大发射功率27dBM，满足室外覆盖需求。
WOA5200-80采用IP68外观硬件设计，能适应各种室外恶劣环境，广泛适用于学校、企业、车站、体育场、油田、景区、偏远居民区等场所的无线部署。"
